price,neighborhood_name,administritive_area,city,rooms,bathrooms,sqm,elevator,bool,driver,garden
1150000.0,Al Qadisiyah,Riyadh, East Riyadh,5,5,250.0,0,0,0,0
1270000.0,Al Munsiyah,Riyadh, East Riyadh,6,6,240.0,0,0,0,0
1350000.0,Az Zomorod,Makkah, Jeddah,7,7,312.0,0,0,0,1
890000.0,Al Hazm,Riyadh, South Riyadh,6,6,250.0,0,0,0,0
920000.0,Al Hazm,Riyadh, South Riyadh,3,4,360.0,0,0,0,0
1250000.0,Al Yaqoot,Makkah, Jeddah,5,4,250.0,1,0,1,0
1135000.0,Ar Rimal,Riyadh, East Riyadh,3,2,216.0,0,0,0,0
1280000.0,Tuwaiq,Riyadh, West Riyadh,4,5,300.0,0,0,0,0
1250000.0,Ar Rimal,Riyadh, East Riyadh,4,4,300.0,0,0,0,0
1140000.0,Al Hazm,Riyadh, South Riyadh,4,5,300.0,0,0,0,0
1130000.0,Dahiat Namar,Riyadh, West Riyadh,6,7,300.0,0,1,0,0
670000.0,An Nuzhah,Makkah, Jeddah,2,3,238.0,0,0,1,1
1030000.0,Al Hazm,Riyadh, South Riyadh,3,4,250.0,0,0,0,0
1000000.0,Al Hazm,Riyadh, South Riyadh,6,6,300.0,0,0,0,0
2500000.0,Al Amwaj,Makkah, Jeddah,6,7,375.0,1,1,1,0
850000.0,Badr,Riyadh, South Riyadh,5,6,300.0,0,0,0,0
1100000.0,Tuwaiq,Riyadh, West Riyadh,3,4,375.0,0,0,0,0
980000.0,Al Hazm,Riyadh, South Riyadh,6,5,250.0,0,0,0,0
1150000.0,Al Janadriyah,Riyadh, East Riyadh,5,5,280.0,0,0,0,0
1350000.0,Az Zomorod,Makkah, Jeddah,7,7,312.0,0,0,0,1
950000.0,Uhud,Riyadh, South Riyadh,4,6,250.0,0,0,0,0
890000.0,Ad Dar Al Baida,Riyadh, South Riyadh,4,6,230.0,0,0,0,0
1450000.0,Al Yaqoot,Makkah, Jeddah,5,6,250.0,1,0,1,0
2200000.0,An Narjis,Riyadh, North Riyadh,5,6,360.0,0,0,0,0
870000.0,Al Ghoroub,Riyadh, West Riyadh,5,5,205.0,0,0,0,0
1250000.0,Ar Rimal,Riyadh, East Riyadh,4,4,300.0,0,0,0,0
1550000.0,Al Yarmuk,Riyadh, East Riyadh,6,7,250.0,0,0,0,0
950000.0,Al Hazm,Riyadh, South Riyadh,4,3,250.0,0,0,0,0
1300000.0,Al Yaqoot,Makkah, Jeddah,5,5,231.0,1,0,1,0
1300000.0,Ar Rimal,Riyadh, East Riyadh,4,4,300.0,0,0,0,0
2500000.0,Al Muhammadiyah,Riyadh, West Riyadh,4,4,402.0,0,0,1,0
1050000.0,Dhahrat Namar,Riyadh, West Riyadh,5,7,300.0,0,0,0,0
1050000.0,Ad Dar Al Baida,Riyadh, South Riyadh,3,3,360.0,0,0,0,0
1140000.0,Al Hazm,Riyadh, South Riyadh,5,7,300.0,0,0,0,0
950000.0,Dirab,Riyadh, South Riyadh,6,6,250.0,0,0,0,0
1100000.0,Uqaz,Riyadh, South Riyadh,5,6,327.0,0,0,0,0
1100000.0,Uqaz,Riyadh, South Riyadh,6,5,337.0,0,0,0,0
890000.0,Al Hazm,Riyadh, South Riyadh,7,7,250.0,0,0,0,0
1150000.0,Al Qadisiyah,Riyadh, East Riyadh,4,5,250.0,0,0,0,0
850000.0,Al Hazm,Riyadh, South Riyadh,3,3,312.0,0,0,0,0
1000000.0,Al Hazm,Riyadh, South Riyadh,5,7,262.0,0,0,0,0
1170000.0,Tuwaiq,Riyadh, West Riyadh,5,7,300.0,0,0,0,0
1715000.0,Al Yaqoot,Makkah, Jeddah,5,7,375.0,0,0,0,1
1500000.0,Ar Rimal,Riyadh, East Riyadh,4,2,332.0,0,0,1,0
1300000.0,Ar Rimal,Riyadh, East Riyadh,7,6,275.0,0,0,0,0
1300000.0,Al Qadisiyah,Riyadh, East Riyadh,4,5,312.0,0,0,0,0
1750000.0,An Narjis,Riyadh, North Riyadh,4,4,280.0,1,0,1,0
1100000.0,Tuwaiq,Riyadh, West Riyadh,3,5,375.0,0,0,0,0
1130000.0,Ar Rimal,Riyadh, East Riyadh,5,6,281.0,0,0,0,0
920000.0,Al Hazm,Riyadh, South Riyadh,3,5,360.0,0,0,0,0
1280000.0,Ar Rimal,Riyadh, East Riyadh,6,5,300.0,0,0,0,0
850000.0,Badr,Riyadh, South Riyadh,5,6,300.0,0,0,0,0
1400000.0,Al Yaqoot,Makkah, Jeddah,6,6,290.0,0,1,0,1
1200000.0,Ar Rimal,Riyadh, East Riyadh,4,5,300.0,0,0,0,0
1100000.0,Dahiat Namar,Riyadh, West Riyadh,3,7,270.0,0,0,0,0
2400000.0,Al Quds,Riyadh, East Riyadh,3,4,375.0,0,0,0,0
1300000.0,Ar Rimal,Riyadh, East Riyadh,5,5,275.0,0,0,0,0
1000000.0,Uqaz,Riyadh, South Riyadh,5,6,327.0,1,0,0,0
1650000.0,An Narjis,Riyadh, North Riyadh,5,5,276.0,1,0,1,0
1000000.0,Ar Rimal,Riyadh, East Riyadh,5,6,250.0,0,0,0,0
1360000.0,Al Qadisiyah,Riyadh, East Riyadh,6,6,300.0,0,0,0,0
1100000.0,Ar Rimal,Riyadh, East Riyadh,5,5,280.0,0,0,0,0
1600000.0,Ar Rimal,Riyadh, East Riyadh,5,3,318.0,0,0,1,0
2200000.0,An Nahdah,Makkah, Jeddah,4,7,330.0,0,0,0,0
880000.0,Dirab,Riyadh, South Riyadh,6,6,250.0,0,0,0,0
850000.0,Badr,Riyadh, South Riyadh,5,6,300.0,0,0,0,0
1450000.0,Al Yaqoot,Makkah, Jeddah,2,5,250.0,0,1,0,0
850000.0,Dirab,Riyadh, South Riyadh,5,6,230.0,0,0,0,0
820000.0,Al Hazm,Riyadh, South Riyadh,5,7,200.0,0,0,0,0
